Di 30. Okt 02:57:31 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540864200.csv (11588056 entries, 1.70 G, cost 141615521 usec, 79.91 K/s)
Di 30. Okt 03:02:53 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540864500.csv (11544284 entries, 1.69 G, cost 163572148 usec, 68.92 K/s)
Di 30. Okt 03:08:19 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540864800.csv (11703586 entries, 1.71 G, cost 188683401 usec, 60.57 K/s)
Di 30. Okt 03:13:05 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540865100.csv (11613799 entries, 1.70 G, cost 174990529 usec, 64.81 K/s)
Di 30. Okt 03:17:29 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540865400.csv (11656108 entries, 1.71 G, cost 139627042 usec, 81.52 K/s)
Di 30. Okt 03:22:43 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540865700.csv (11582444 entries, 1.70 G, cost 152760980 usec, 74.04 K/s)
Di 30. Okt 03:27:38 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540866000.csv (11617609 entries, 1.70 G, cost 147866650 usec, 76.73 K/s)
Di 30. Okt 03:32:35 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540866300.csv (11539296 entries, 1.69 G, cost 144810528 usec, 77.82 K/s)
Di 30. Okt 03:37:33 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540866600.csv (11643162 entries, 1.71 G, cost 142550975 usec, 79.76 K/s)
Di 30. Okt 03:42:36 CET 2018: /vsu1/db/cdr_csv/event_GEO_LTE/sav/DataExport.s1mmeSAMPLEMME_1540866900.csv (11615371 entries, 1.70 G, cost 145232113 usec, 78.10 K/s)
